2026-04-02 22:23:06 | INFO | MainThread | Sistema iniciado
2026-04-02 22:23:06 | INFO | MainThread | Datos base cargados | Usuario: Karel Gonzalez | Cuenta: 2430414645 | Tipo: ahorros | Saldo inicial: 1000.00
2026-04-02 22:23:06 | INFO | MainThread | Datos base cargados | Usuario: Maria Lopez | Cuenta: 3162992800 | Tipo: ahorros | Saldo inicial: 500.00
2026-04-02 22:23:12 | INFO | MainThread | Inicio simulación de retiros concurrentes | Cuenta: 2430414645 | Titular: Karel Gonzalez
2026-04-02 22:23:12 | INFO | Cajero-6 | Cajero 6 (Vía a la Costa) | Solicita retiro de $96.41 en cuenta 2430414645
2026-04-02 22:23:12 | INFO | Cajero-6 | Cajero 6 (Vía a la Costa) | Intentando adquirir mutex de la cuenta 2430414645...
2026-04-02 22:23:12 | INFO | Cajero-6 | Cajero 6 (Vía a la Costa) | Mutex adquirido.
2026-04-02 22:23:12 | INFO | Cajero-4 | Cajero 4 (Samborondón) | Solicita retiro de $79.59 en cuenta 2430414645
2026-04-02 22:23:12 | INFO | Cajero-5 | Cajero 5 (Alborada) | Solicita retiro de $90.67 en cuenta 2430414645
2026-04-02 22:23:12 | INFO | Cajero-5 | Cajero 5 (Alborada) | Intentando adquirir mutex de la cuenta 2430414645...
2026-04-02 22:23:12 | INFO | Cajero-6 | Cajero 6 (Vía a la Costa) | Entra a la sección crítica.
2026-04-02 22:23:12 | INFO | Cajero-2 | Cajero 2 (Urdesa) | Solicita retiro de $105.39 en cuenta 2430414645
2026-04-02 22:23:12 | INFO | Cajero-2 | Cajero 2 (Urdesa) | Intentando adquirir mutex de la cuenta 2430414645...
2026-04-02 22:23:12 | INFO | Cajero-6 | Cajero 6 (Vía a la Costa) | Saldo antes del retiro: $1000.00
2026-04-02 22:23:12 | INFO | Cajero-4 | Cajero 4 (Samborondón) | Intentando adquirir mutex de la cuenta 2430414645...
2026-04-02 22:23:12 | INFO | Cajero-3 | Cajero 3 (Kennedy) | Solicita retiro de $77.94 en cuenta 2430414645
2026-04-02 22:23:12 | INFO | Cajero-3 | Cajero 3 (Kennedy) | Intentando adquirir mutex de la cuenta 2430414645...
2026-04-02 22:23:13 | INFO | Cajero-6 | Cajero 6 (Vía a la Costa) | Saldo actualizado después del retiro: $903.59
2026-04-02 22:23:13 | INFO | Cajero-6 | Cajero 6 (Vía a la Costa) | Sale de la sección crítica.
2026-04-02 22:23:13 | INFO | Cajero-6 | Cajero 6 (Vía a la Costa) | Libera el mutex de la cuenta 2430414645.

2026-04-02 22:23:13 | INFO | Cajero-5 | Cajero 5 (Alborada) | Mutex adquirido.
2026-04-02 22:23:13 | INFO | Cajero-5 | Cajero 5 (Alborada) | Entra a la sección crítica.
2026-04-02 22:23:13 | INFO | Cajero-5 | Cajero 5 (Alborada) | Saldo antes del retiro: $903.59
